gene_symbol	cluster	pearson_r	pearson_pvalue	pearson_fdr
IGF2BP2	11	0.5582071248208635	2.708350577004204e-4	0.01345147453245421
USP36	6	0.5579597761333405	7.679938703688573e-7	1.0225536363899954e-5
LUC7L3	10	0.5578122049399192	6.308257493229425e-8	2.585698697050262e-5
CHD2	10	0.5573889007483819	6.485866296948817e-8	2.585698697050262e-5
ATXN2	6	0.5559854506170224	8.559834478192271e-7	1.1270448729619823e-5
CELF1	6	0.5555770415087325	8.75330883594429e-7	1.1398539528125257e-5
NUMA1	4	0.555262421458393	1.916544218906548e-6	9.982695540217585e-5
ZNF638	2	0.5547662086396076	2.9807175608909245e-8	2.520835422924896e-6
TCERG1	2	0.5533567194606117	3.284432679388019e-8	2.5925121949302765e-6
SRPK1	2	0.5523777605406093	3.512480166523227e-8	2.599235323227188e-6
DUS3L	4	0.5520862355479618	2.254636704100931e-6	1.0948212309960516e-4
NVL	4	0.5518259573680325	2.2846853735309924e-6	1.0948212309960516e-4
CLK4	2	0.5499914425215847	4.133217061389641e-8	2.8786641180501966e-6
DKC1	11	0.5483905447012486	3.6454413243953396e-4	0.01671294637953556
MACF1	6	0.5474219641999368	1.3593303053710415e-6	1.7136238424092386e-5
CHD2	1	0.5472631558597898	5.428452405577125e-12	1.441984372752375e-9
SRSF5	4	0.5468790764779693	2.9321967162506036e-6	1.31945986508775e-4
PABPN1	6	0.545922892133442	1.4720290835541205e-6	1.8172890454252873e-5
SRRM3	8	0.5456241437383673	1.151302659803874e-7	3.244068066387985e-5
SON	2	0.5452474731737262	5.6906392146624215e-8	3.593244274869581e-6
THOC1	4	0.5450945298809169	3.2052559517457177e-6	1.31945986508775e-4
TTF2	6	0.5450114757171438	1.5447768196295794e-6	1.8871758054237644e-5
HARS2	4	0.5449745760899002	3.2244381171270707e-6	1.31945986508775e-4
HELZ	6	0.5448146674310735	1.5609226771254597e-6	1.8874422167282346e-5
CDK13	2	0.5447960884460864	5.8649329931256994e-8	3.593244274869581e-6
PPWD1	4	0.544582548857533	3.2878798149300186e-6	1.31945986508775e-4
RBM15	10	0.5445083226041515	1.4825809021892963e-7	4.4329168975459955e-05
RBM28	4	0.5444831099070319	3.304156590369992e-6	1.31945986508775e-4
DDX17	2	0.5442818835883937	6.069669383225643e-8	3.593244274869581e-6
