gene_symbol	plot_groups	pearson_r	pearson_pvalue	pearson_fdr
RBM39	Schwannoma	0.7541080961375007	0.0029013539284493497	0.03398269511735689
LSM1	Atypical teratoid rhabdoid tumor	-0.754072285479414	2.0841711537197773e-5	0.0016948930714228044
GDI2	Neurofibroma plexiform	-0.7536349533628566	0.011824381793038661	0.18611610296796566
RSRC1	Schwannoma	0.7535613041241364	0.0029336442479253955	0.03398269511735689
TPT1	Germ cell tumor	-0.7535494737436755	0.03084609693375929	0.9965170093839139
ERH	Atypical teratoid rhabdoid tumor	-0.7534039389581533	2.1399985737908287e-5	0.0016948930714228044
TACO1	Atypical teratoid rhabdoid tumor	-0.7530857336960038	2.1670391153800015e-5	0.0016948930714228044
UNK	Schwannoma	0.7530552145652467	0.0029637788666987035	0.03398269511735689
HTATSF1	Schwannoma	0.7530092944516129	0.002966524978077245	0.03398269511735689
RBM42	Choroid plexus tumor	-0.7528220483679345	1.279211390629421e-4	0.0029923513510213707
POLR2I	Other CNS embryonal tumor	-0.7527275218357993	0.03113475722892372	0.6083615623598504
