gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
NOP14	1793.5429007830064	0.4036110703296453	0.04793393226824602	8.420153557838164	3.7599116474319694e-17	2.525679780557562e-16	P-Adj < 0.05
TRUB2	1859.794229110166	-0.13204959740546343	0.04761077541645483	-2.7735233516029982	0.005545286040148609	0.00878714557131241	P-Adj < 0.05
RRAGC	1359.2566948771214	-0.399268805033509	0.07117281821411935	-5.609849589380199	2.025025379078287e-8	5.8754257477482693e-8	P-Adj < 0.05
MRPL4	1671.4190961707973	-0.17085383001407004	0.044293585480479264	-3.8573041256587244	1.1464448384954184e-4	2.221012257649431e-4	P-Adj < 0.05
DHX16	1922.516342029578	0.31899592792672166	0.043988777925034965	7.25175699289373	4.1139952215491074e-13	2.0258558142767715e-12	P-Adj < 0.05
IFIT2	2041.4549137741571	-0.814973792596844	0.14164134001113657	-5.753784823927581	8.726722171235147e-9	2.6501790180949978e-8	P-Adj < 0.05
TEX10	1003.0228775716762	0.37518001400757045	0.06391548354040598	5.8699393828475035	4.359545039191176e-9	1.3781068205729651e-8	P-Adj < 0.05
SNRPA1	741.0225964592173	0.4984307462093226	0.04251496083607091	11.723655306450139	9.6419971895159e-32	2.1281265225431526e-30	P-Adj < 0.05
PRMT7	2033.101273603649	0.7899253416849138	0.07031429847490435	11.234206396396653	2.7697140277807994e-29	5.034362556378041e-28	P-Adj < 0.05
DNAJC2	869.0660872789906	0.4632243321360965	0.04621500574694224	10.02324514839523	1.2048075839536138e-23	1.3661854805198778e-22	P-Adj < 0.05
KRI1	1662.1887751174536	0.5452691765278562	0.06874400087093217	7.931880158555315	2.1585268554816794e-15	1.2584618836676206e-14	P-Adj < 0.05
HEATR6	1807.4099157566222	0.2712030837033637	0.05440027197674799	4.985325878872123	6.185746451974087e-7	1.5181804392279745e-6	P-Adj < 0.05
MRPL27	1175.9471617543056	0.14318940757895343	0.03620419762688385	3.9550498827414	7.651868470871972e-5	1.5287959596404986e-4	P-Adj < 0.05
LSM5	592.9230802642744	0.7200606448117037	0.08386296344325819	8.586157884808088	8.99260673159805e-18	6.351349668717251e-17	P-Adj < 0.05
UCHL5	1079.3721424685027	0.19785598292987167	0.06791972625083602	2.913085694709146	0.0035787637636129866	0.005797315873952361	P-Adj < 0.05
BCAS2	950.580404186423	0.19015697546439062	0.06099671431660099	3.1174953863480006	0.001823948015394808	0.003054742204644963	P-Adj < 0.05
MRPS14	1422.111049620759	-0.4953028094686834	0.057136766684522	-8.668723104397468	4.369932277072179e-18	3.195997807373499e-17	P-Adj < 0.05
MEX3D	2539.3064601810474	0.538230513491698	0.08039363834877643	6.694939108946172	2.1576145491169268e-11	9.009498590231491e-11	P-Adj < 0.05
RBMXL1	1927.5726167892103	-0.46465245717034387	0.05971255478849142	-7.781486804846906	7.167710781592323e-15	3.99067140812978e-14	P-Adj < 0.05
MRPL43	1558.2107842500986	-0.17107104717376892	0.04327582491678442	-3.953039543503178	7.716467879931737e-5	1.5333688584558884e-4	P-Adj < 0.05
SRRM4	2289.450617073403	2.7704892008884743	0.2751520396045998	10.06893935756295	7.579098281595744e-24	8.921681405764133e-23	P-Adj < 0.05
MRTO4	1244.5355378875718	0.18129679137599383	0.04140230089099106	4.378906183338306	1.1927646206550165e-5	2.5955230125521132e-5	P-Adj < 0.05
DHX33	1773.5360080516255	-0.157239568446714	0.056461711145326866	-2.7848884714456292	0.00535461371749308	0.008506815623163813	P-Adj < 0.05
IFIT5	1637.0198295766484	-0.3520542177127229	0.076866972324930255	-4.580045331101732	4.648751617017088e-6	1.0466041891863606e-5	P-Adj < 0.05
EMG1	1342.7172568195995	0.3451588382586712	0.04145060769856027	8.326991024323627	8.292302865785606e-17	5.510369001134951e-16	P-Adj < 0.05
TRMT1	1256.075867359948	0.6560238493870951	0.0561257788950566	11.688458713663854	1.4601232231897864e-31	3.1115729376940964e-30	P-Adj < 0.05
SNRNP40	1266.644705303761	0.28155250610551674	0.03763461477434358	7.4812113208465165	7.364065247972348e-14	3.873184955954818e-13	P-Adj < 0.05
MRPS15	912.1941735109773	0.19098387029870942	0.05351612983239606	3.568716028173941	3.587349924127028e-4	6.520536038560304e-4	P-Adj < 0.05
MPHOSPH10	1035.6369086288637	0.14730096836506432	0.04145976890039016	3.5528651575208885	3.810597394388244e-4	6.899211595266041e-4	P-Adj < 0.05
ZCCHC8	1054.026146500315	0.6733247612504588	0.04464954678937126	15.08021491073102	2.1855640341089082e-51	3.0015079401762343e-49	P-Adj < 0.05
AFF2	2316.251965599889	1.225328642483312	0.1679196212593436	7.29711413885845	2.9400537818607837e-13	1.477197753812979e-12	P-Adj < 0.05
WDR77	1320.4700987584793	-0.21732515129172517	0.04403342184147535	-4.9354590718413185	7.996244864646005e-7	1.919098767515041e-6	P-Adj < 0.05
THOC1	895.9192867786172	0.9448083706834205	0.061731213158245646	15.305196874414888	7.058807487086202e-53	1.2463837220055065e-50	P-Adj < 0.05
CISD2	824.1719906104921	0.3121740395123653	0.06316578620194448	4.942138114363491	7.727044312860365e-7	1.8617206180692809e-6	P-Adj < 0.05
NGDN	818.4468839575756	0.18482593252731996	0.03156885898534746	5.854691568456942	4.778960717395989e-9	1.4991866615993507e-8	P-Adj < 0.05
LSM2	917.8474277671305	-0.11337437638583749	0.04677302868209672	-2.423926343457714	0.015353719221312283	0.02264581975840332	P-Adj < 0.05
C11orf68	1796.100672572406	-0.4452967353717393	0.05725410692222006	-7.77755097947256	7.394197651721144e-15	4.098308653599701e-14	P-Adj < 0.05
RPF1	795.3281569476701	-0.15467057039795878	0.04728160071139139	-3.2712634105193175	0.0010706813307760825	0.0018534483541165798	P-Adj < 0.05
FAM133B	910.0934805763529	0.5964836349874935	0.06977325658847622	8.548886266059839	1.24281908025345e-17	8.678668831600362e-17	P-Adj < 0.05
ALG13	1177.347101655297	0.3603722522496549	0.0436126487906161	8.263021445448054	1.420307106425313e-16	9.28835758487665e-16	P-Adj < 0.05
NOL10	1196.3114001936942	0.08400464891681626	0.0317492763630034	2.6458760179713794	0.008147967397689413	0.012561729688511217	P-Adj < 0.05
PPIL1	1154.5504321524602	-0.3197845272781554	0.06250738894005156	-5.115947613566909	3.121696997777304e-7	7.971936961266008e-7	P-Adj < 0.05
IMP3	1520.8671817472343	-0.2514419278110653	0.03895543436374342	-6.45460465061807	1.085017786111683e-10	4.1778254941870406e-10	P-Adj < 0.05
